local_time,sex,event,round,startlist_url,results_url,summary_url,points_url
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,
09:50,W,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/20-kilometres-race-walk/final/result#resultheader,,
10:05,M,100 Metres,Decathlon,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/decathlon/100-metres/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/decathlon/100-metres/result#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/decathlon/100-metres/summary#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/decathlon/100-metres/points#resultheader
10:10,M,Hammer Throw,Qualification Group A,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/hammer-throw/qualification/startlist#A,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/hammer-throw/qualification/series#A,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/hammer-throw/qualification/summary#resultheader,
10:15,W,High Jump,Qualification,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/high-jump/qualification/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/high-jump/qualification/series#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/high-jump/qualification/summary#resultheader,
10:35,W,100 Metres,Preliminary Round,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/100-metres/preliminary-round/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/100-metres/preliminary-round/result#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/100-metres/preliminary-round/summary#resultheader,
10:55,M,Long Jump,Decathlon,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/decathlon/long-jump/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/decathlon/long-jump/series#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/decathlon/long-jump/summary#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/decathlon/long-jump/points#resultheader
11:10,M,1500 Metres,Heats,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/1500-metres/heats/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/1500-metres/heats/result#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/1500-metres/heats/summary#resultheader,
11:35,M,Hammer Throw,Qualification Group B,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/hammer-throw/qualification/startlist#B,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/hammer-throw/qualification/series#B,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/hammer-throw/qualification/summary#resultheader,
11:50,W,100 Metres,Heats,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/100-metres/heats/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/100-metres/heats/result#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/100-metres/heats/summary#resultheader,
12:15,M,Shot Put,Decathlon,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/decathlon/shot-put/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/decathlon/shot-put/series#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/decathlon/shot-put/summary#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/decathlon/shot-put/points#resultheader
18:00,M,High Jump,Decathlon,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/decathlon/high-jump/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/decathlon/high-jump/series#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/decathlon/high-jump/summary#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/decathlon/high-jump/points#resultheader
18:10,W,5000 Metres,Heats,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/5000-metres/heats/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/5000-metres/heats/result#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/5000-metres/heats/summary#resultheader,
18:15,W,Triple Jump,Qualification,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/triple-jump/qualification/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/triple-jump/qualification/series#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/triple-jump/qualification/summary#resultheader,
18:55,W,Discus Throw,Qualification Group A,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/discus-throw/qualification/startlist#A,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/discus-throw/qualification/series#A,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/discus-throw/qualification/summary#resultheader,
19:10,X,4x400 Metres Relay,Heats,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/mixed/4x400-metres-relay/heats/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/mixed/4x400-metres-relay/heats/result#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/mixed/4x400-metres-relay/heats/summary#resultheader,
