Operation,Database,ElapsedUs,EntityType,EntityCount,Scale
AddManyAsync,PostgreSQL,72726,Athlete,1728,1
AddManyAsync,MongoDB,142936,Athlete,1728,1
AddManyAsync,PostgreSQL,29378,Event,139,1
AddManyAsync,MongoDB,27403,Event,139,1
AddManyAsync,PostgreSQL,248712,Result,3550,1
AddManyAsync,MongoDB,209373,Result,3550,1
GetByIdAsync,PostgreSQL,23774,Athlete,1,1
GetByIdAsync,MongoDB,74153,Athlete,1,1
GetByIdAsync,PostgreSQL,5022,Event,1,1
GetByIdAsync,MongoDB,8970,Event,1,1
GetByIdAsync,PostgreSQL,4966,Result,1,1
GetByIdAsync,MongoDB,6485,Result,1,1
GetAllAsync,PostgreSQL,13550,Athlete,1728,1
GetAllAsync,MongoDB,44829,Athlete,1728,1
GetAllAsync,PostgreSQL,5534,Event,139,1
GetAllAsync,MongoDB,8300,Event,139,1
GetAllAsync,PostgreSQL,16621,Result,3550,1
GetAllAsync,MongoDB,197510,Result,3550,1
UpdateAsync,PostgreSQL,6438,Athlete,1,1
UpdateAsync,MongoDB,21710,Athlete,1,1
UpdateAsync,PostgreSQL,7169,Event,1,1
UpdateAsync,MongoDB,7892,Event,1,1
UpdateAsync,PostgreSQL,4342,Result,1,1
UpdateAsync,MongoDB,3390,Result,1,1
DeleteAsync,PostgreSQL,3864,Result,1,1
DeleteAsync,MongoDB,13767,Result,1,1
DeleteAsync,PostgreSQL,4512,Athlete,1,1
DeleteAsync,MongoDB,2006,Athlete,1,1
DeleteAsync,PostgreSQL,4291,Event,1,1
DeleteAsync,MongoDB,1869,Event,1,1
DeleteAllAsync,PostgreSQL,18550,Result,3501,1
DeleteAllAsync,MongoDB,83023,Result,3549,1
DeleteAllAsync,PostgreSQL,44154,Athlete,1727,1
DeleteAllAsync,MongoDB,41235,Athlete,1727,1
DeleteAllAsync,PostgreSQL,7047,Event,138,1
DeleteAllAsync,MongoDB,3803,Event,138,1
AddManyAsync,PostgreSQL,74953,Athlete,1728,1
AddManyAsync,MongoDB,120603,Athlete,1728,1
AddManyAsync,PostgreSQL,16002,Event,139,1
AddManyAsync,MongoDB,17750,Event,139,1
AddManyAsync,PostgreSQL,142609,Result,3550,1
AddManyAsync,MongoDB,113260,Result,3550,1
GetByIdAsync,PostgreSQL,12470,Athlete,1,1
GetByIdAsync,MongoDB,38669,Athlete,1,1
GetByIdAsync,PostgreSQL,3456,Event,1,1
GetByIdAsync,MongoDB,4688,Event,1,1
GetByIdAsync,PostgreSQL,3261,Result,1,1
GetByIdAsync,MongoDB,4535,Result,1,1
GetAllAsync,PostgreSQL,12881,Athlete,1728,1
GetAllAsync,MongoDB,22630,Athlete,1728,1
GetAllAsync,PostgreSQL,3506,Event,139,1
GetAllAsync,MongoDB,3404,Event,139,1
GetAllAsync,PostgreSQL,8915,Result,3550,1
GetAllAsync,MongoDB,87858,Result,3550,1
UpdateAsync,PostgreSQL,3088,Athlete,1,1
UpdateAsync,MongoDB,9311,Athlete,1,1
UpdateAsync,PostgreSQL,2943,Event,1,1
UpdateAsync,MongoDB,1446,Event,1,1
UpdateAsync,PostgreSQL,2981,Result,1,1
UpdateAsync,MongoDB,1593,Result,1,1
DeleteAsync,PostgreSQL,2623,Result,1,1
DeleteAsync,MongoDB,6872,Result,1,1
DeleteAsync,PostgreSQL,3076,Athlete,1,1
DeleteAsync,MongoDB,1359,Athlete,1,1
DeleteAsync,PostgreSQL,3099,Event,1,1
DeleteAsync,MongoDB,1246,Event,1,1
DeleteAllAsync,PostgreSQL,10063,Result,3501,1
DeleteAllAsync,MongoDB,25573,Result,3549,1
DeleteAllAsync,PostgreSQL,20936,Athlete,1727,1
DeleteAllAsync,MongoDB,10964,Athlete,1727,1
DeleteAllAsync,PostgreSQL,4448,Event,138,1
DeleteAllAsync,MongoDB,2199,Event,138,1
AddManyAsync,PostgreSQL,82561,Athlete,1728,1
AddManyAsync,MongoDB,116786,Athlete,1728,1
AddManyAsync,PostgreSQL,15306,Event,139,1
AddManyAsync,MongoDB,18403,Event,139,1
AddManyAsync,PostgreSQL,122997,Result,3550,1
AddManyAsync,MongoDB,100642,Result,3550,1
GetByIdAsync,PostgreSQL,12736,Athlete,1,1
GetByIdAsync,MongoDB,39268,Athlete,1,1
GetByIdAsync,PostgreSQL,3323,Event,1,1
GetByIdAsync,MongoDB,4410,Event,1,1
GetByIdAsync,PostgreSQL,3386,Result,1,1
GetByIdAsync,MongoDB,4487,Result,1,1
GetAllAsync,PostgreSQL,6613,Athlete,1728,1
GetAllAsync,MongoDB,21507,Athlete,1728,1
GetAllAsync,PostgreSQL,3032,Event,139,1
GetAllAsync,MongoDB,2853,Event,139,1
GetAllAsync,PostgreSQL,8510,Result,3550,1
GetAllAsync,MongoDB,88528,Result,3550,1
UpdateAsync,PostgreSQL,3177,Athlete,1,1
UpdateAsync,MongoDB,9798,Athlete,1,1
UpdateAsync,PostgreSQL,3066,Event,1,1
UpdateAsync,MongoDB,1674,Event,1,1
UpdateAsync,PostgreSQL,2851,Result,1,1
UpdateAsync,MongoDB,1821,Result,1,1
DeleteAsync,PostgreSQL,2786,Result,1,1
DeleteAsync,MongoDB,6803,Result,1,1
DeleteAsync,PostgreSQL,3030,Athlete,1,1
DeleteAsync,MongoDB,1393,Athlete,1,1
DeleteAsync,PostgreSQL,2952,Event,1,1
DeleteAsync,MongoDB,1164,Event,1,1
DeleteAllAsync,PostgreSQL,11203,Result,3501,1
DeleteAllAsync,MongoDB,25255,Result,3549,1
DeleteAllAsync,PostgreSQL,21257,Athlete,1727,1
DeleteAllAsync,MongoDB,10968,Athlete,1727,1
DeleteAllAsync,PostgreSQL,4762,Event,138,1
DeleteAllAsync,MongoDB,2138,Event,138,1
AddManyAsync,PostgreSQL,73518,Athlete,1728,1
AddManyAsync,MongoDB,115228,Athlete,1728,1
AddManyAsync,PostgreSQL,17416,Event,139,1
AddManyAsync,MongoDB,16690,Event,139,1
AddManyAsync,PostgreSQL,120986,Result,3550,1
AddManyAsync,MongoDB,96885,Result,3550,1
GetByIdAsync,PostgreSQL,12960,Athlete,1,1
GetByIdAsync,MongoDB,38802,Athlete,1,1
GetByIdAsync,PostgreSQL,3399,Event,1,1
GetByIdAsync,MongoDB,5384,Event,1,1
GetByIdAsync,PostgreSQL,3357,Result,1,1
GetByIdAsync,MongoDB,4139,Result,1,1
GetAllAsync,PostgreSQL,6290,Athlete,1728,1
GetAllAsync,MongoDB,21684,Athlete,1728,1
GetAllAsync,PostgreSQL,3193,Event,139,1
GetAllAsync,MongoDB,3060,Event,139,1
GetAllAsync,PostgreSQL,8792,Result,3550,1
GetAllAsync,MongoDB,90342,Result,3550,1
UpdateAsync,PostgreSQL,3019,Athlete,1,1
UpdateAsync,MongoDB,9355,Athlete,1,1
UpdateAsync,PostgreSQL,2890,Event,1,1
UpdateAsync,MongoDB,1457,Event,1,1
UpdateAsync,PostgreSQL,2758,Result,1,1
UpdateAsync,MongoDB,1688,Result,1,1
DeleteAsync,PostgreSQL,2754,Result,1,1
DeleteAsync,MongoDB,7280,Result,1,1
DeleteAsync,PostgreSQL,2982,Athlete,1,1
DeleteAsync,MongoDB,1205,Athlete,1,1
DeleteAsync,PostgreSQL,2874,Event,1,1
DeleteAsync,MongoDB,1167,Event,1,1
DeleteAllAsync,PostgreSQL,8833,Result,3501,1
DeleteAllAsync,MongoDB,25830,Result,3549,1
DeleteAllAsync,PostgreSQL,21856,Athlete,1727,1
DeleteAllAsync,MongoDB,11753,Athlete,1727,1
DeleteAllAsync,PostgreSQL,4952,Event,138,1
DeleteAllAsync,MongoDB,2920,Event,138,1
AddManyAsync,PostgreSQL,73557,Athlete,1728,1
AddManyAsync,MongoDB,114578,Athlete,1728,1
AddManyAsync,PostgreSQL,15669,Event,139,1
AddManyAsync,MongoDB,16543,Event,139,1
AddManyAsync,PostgreSQL,119787,Result,3550,1
AddManyAsync,MongoDB,102760,Result,3550,1
GetByIdAsync,PostgreSQL,12018,Athlete,1,1
GetByIdAsync,MongoDB,42145,Athlete,1,1
GetByIdAsync,PostgreSQL,3266,Event,1,1
GetByIdAsync,MongoDB,4618,Event,1,1
GetByIdAsync,PostgreSQL,3224,Result,1,1
GetByIdAsync,MongoDB,5626,Result,1,1
GetAllAsync,PostgreSQL,6634,Athlete,1728,1
GetAllAsync,MongoDB,32271,Athlete,1728,1
GetAllAsync,PostgreSQL,3886,Event,139,1
GetAllAsync,MongoDB,2912,Event,139,1
GetAllAsync,PostgreSQL,8696,Result,3550,1
GetAllAsync,MongoDB,94408,Result,3550,1
UpdateAsync,PostgreSQL,3315,Athlete,1,1
UpdateAsync,MongoDB,9635,Athlete,1,1
UpdateAsync,PostgreSQL,3031,Event,1,1
UpdateAsync,MongoDB,1673,Event,1,1
UpdateAsync,PostgreSQL,2845,Result,1,1
UpdateAsync,MongoDB,1782,Result,1,1
DeleteAsync,PostgreSQL,2795,Result,1,1
DeleteAsync,MongoDB,7348,Result,1,1
DeleteAsync,PostgreSQL,3191,Athlete,1,1
DeleteAsync,MongoDB,1251,Athlete,1,1
DeleteAsync,PostgreSQL,2800,Event,1,1
DeleteAsync,MongoDB,2079,Event,1,1
DeleteAllAsync,PostgreSQL,10304,Result,3501,1
DeleteAllAsync,MongoDB,27534,Result,3549,1
DeleteAllAsync,PostgreSQL,20943,Athlete,1727,1
DeleteAllAsync,MongoDB,11065,Athlete,1727,1
DeleteAllAsync,PostgreSQL,4486,Event,138,1
DeleteAllAsync,MongoDB,1991,Event,138,1
AddManyAsync,PostgreSQL,166085,Athlete,8640,5
AddManyAsync,MongoDB,167051,Athlete,8640,5
AddManyAsync,PostgreSQL,45356,Event,695,5
AddManyAsync,MongoDB,26456,Event,695,5
AddManyAsync,PostgreSQL,512731,Result,17750,5
AddManyAsync,MongoDB,525845,Result,17750,5
GetByIdAsync,PostgreSQL,13213,Athlete,1,5
GetByIdAsync,MongoDB,39541,Athlete,1,5
GetByIdAsync,PostgreSQL,3427,Event,1,5
GetByIdAsync,MongoDB,4883,Event,1,5
GetByIdAsync,PostgreSQL,3437,Result,1,5
GetByIdAsync,MongoDB,5044,Result,1,5
GetAllAsync,PostgreSQL,19833,Athlete,8640,5
GetAllAsync,MongoDB,76637,Athlete,8640,5
GetAllAsync,PostgreSQL,6497,Event,695,5
GetAllAsync,MongoDB,11222,Event,695,5
GetAllAsync,PostgreSQL,46017,Result,17750,5
GetAllAsync,MongoDB,423988,Result,17750,5
UpdateAsync,PostgreSQL,3371,Athlete,1,5
UpdateAsync,MongoDB,9961,Athlete,1,5
UpdateAsync,PostgreSQL,2956,Event,1,5
UpdateAsync,MongoDB,1860,Event,1,5
UpdateAsync,PostgreSQL,2919,Result,1,5
UpdateAsync,MongoDB,1533,Result,1,5
DeleteAsync,PostgreSQL,3058,Result,1,5
DeleteAsync,MongoDB,6953,Result,1,5
DeleteAsync,PostgreSQL,4214,Athlete,1,5
DeleteAsync,MongoDB,1309,Athlete,1,5
DeleteAsync,PostgreSQL,4184,Event,1,5
DeleteAsync,MongoDB,1302,Event,1,5
DeleteAllAsync,PostgreSQL,15083,Result,17701,5
DeleteAllAsync,MongoDB,128386,Result,17749,5
